Treatment ,Length,Width 
T1,90,90
T1,85,85
T1,100,100
T1,90,90
T1,55,55
T1,80,80
T1,50,50
T1,80,80
T1,97,97
T1,87,87
T1,90,90
T1,96,96
T1,66,66
T1,67,67
T1,95,95
T1,96,96
T1,105,105
T1,105,105
T1,80,80
T1,60,60
T1,86,86
T1,80,80
T1,82,82
T1,95,95
T1,98,35
T1,110,40
T1,100,51
T1,77,39
T1,99,42
T1,101,46
T1,117,53
T1,113,46
T1,100,29
T1,110,40
T1,93,40
T1,123,48
T1,65,29
T1,103,39
T1,95,37
T1,110,49
T1,100,47
T1,102,44
T1,80,35
T1,93,48
T1,110,43
T1,104,48
T1,125,51
T1,113,32
T1,100,37
T1,112,42
T1,102,53
T1,79,41
T1,102,44
T1,103,48
T1,119,55
T1,115,48
T1,105,31
T1,113,42
T1,95,42
T1,125,50
T1,67,31
T1,105,41
T1,97,39
T1,112,51
T1,104,49
T1,84,46
T1,95,37
T1,112,50
T1,106,45
T1,127,50
T1,115,53
T1,95,34
T1,103,40
T1,115,45
T1,105,56
T1,79,44
T1,104,47
T1,106,51
T1,122,58
T1,118,51
T1,105,34
T1,98,45
T1,98,45
T1,128,53
T1,70,34
T1,108,44
T1,100,43
T1,115,54
T1,105,54
T1,107,54
T1,85,40
T1,98,52
T1,115,53
T1,109,56
T1,130,54
T1,118,37
T1,103,40
T1,115,45
T1,105,56
T1,79,44
T1,104,47
T1,106,51
T1,122,58
T1,118,51
T1,105,34
T1,98,45
T1,98,45
T1,128,53
T1,70,34
T1,108,44
T1,100,43
T1,115,54
T1,105,54
T1,107,54
T1,85,40
T1,98,52
T1,115,53
T1,109,56
T1,130,54
T1,118,37
T1,106,43
T1,118,48
T1,108,59
T1,82,47
T1,107,50
T1,109,54
T1,125,61
T1,121,54
T1,108,37
T1,101,48
T1,101,48
T1,131,56
T1,73,37
T1,111,47
T1,103,46
T1,118,57
T1,108,57
T1,110,57
T1,88,43
T1,101,55
T1,118,56
T1,112,59
T1,133,57
T1,121,40
T1,60,60
T1,90,90
T1,75,75
T1,90,90
T1,108,108
T1,100,100
T1,85,85
T1,75,75
T1,90,90
T1,122,122
T1,97,97
T1,75,75
T1,73,73
T1,104,104
T1,115,115
T1,70,70
T1,80,80
T1,92,92
T1,82,82
T1,78,78
T1,70,70
T1,74,74
T1,114,114
T1,98,98
T1,92,30
T1,54,29
T1,75,43
T1,80,35
T1,93,40
T1,110,45
T1,93,36
T1,104,48
T1,100,35
T1,97,49
T1,105,43
T1,112,45
T1,115,50
T1,85,37
T1,90,30
T1,77,23
T1,100,35
T1,110,38
T1,109,38
T1,863,24
T1,102,30
T1,90,37
T1,95,35
T1,110,40
T1,94,32
T1,56,29
T1,77,43
T1,82,35
T1,95,42
T1,112,47
T1,95,38
T1,106,50
T1,102,37
T1,99,51
T1,107,45
T1,114,47
T1,117,52
T1,87,39
T1,92,32
T1,79,25
T1,102,37
T1,112,40
T1,111,40
T1,85,26
T1,104,32
T1,92,39
T1,95,37
T1,112,42
T1,97,35
T1,59,34
T1,82,48
T1,85,40
T1,98,45
T1,98,50
T1,109,41
T1,105,52
T1,103,40
T1,110,54
T1,115,53
T1,117,50
T1,120,55
T1,90,42
T1,95,35
T1,82,28
T1,105,40
T1,115,43
T1,114,42
T1,93,35
T1,107,42
T1,95,40
T1,100,45
T1,115,52
T1,97,35
T1,59,34
T1,82,48
T1,85,40
T1,98,45
T1,98,50
T1,109,41
T1,105,52
T1,103,40
T1,110,54
T1,115,53
T1,117,50
